Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
680000,1.0091877,9.954123,3329.9133,0.07141982,0.00029595132,None,None,None,1.0
690000,1.2258142,2.760697,2585.3647,0.06720485,0.00029588793,None,None,None,1.0
700000,1.2056834,5.329883,68.10839,0.068917826,0.00029583092,None,None,None,1.0
710000,1.3343426,1.9667355,1759.0242,0.06835097,0.0002957739,None,None,None,1.0
720000,1.190693,3.2515435,102.33421,0.07035078,0.00029571034,4999.0,1142.9630593759093,1142.9630593759093,1.0
730000,1.0103118,11.604355,254.1523,0.06401069,0.00029564666,None,None,None,1.0
740000,1.0205884,7.961703,7073.0225,0.071825944,0.00029558962,None,None,None,1.0
750000,1.0981271,9.67205,956.53174,0.066977866,0.0002955326,None,None,None,1.0
760000,1.1434137,6.4577017,3386.8215,0.071670055,0.00029546925,None,None,None,1.0
770000,1.1303711,4.1337476,466.9715,0.07014544,0.0002954059,4999.0,890.3300484225153,890.3300484225153,1.0
780000,1.41728,5.3936725,70.28807,0.07242184,0.00029534835,None,3149.32010576874,3149.32010576874,1.0
790000,0.74661136,18.98955,278.9817,0.07341503,0.0002952913,None,None,None,1.0
800000,1.1836864,5.850101,8792.084,0.07593523,0.00029522795,None,None,None,1.0
810000,1.3137393,2.9983432,0.79968065,0.0688054,0.00029517093,None,None,None,1.0
820000,1.2896188,2.5073283,123.465164,0.067858696,0.0002951139,None,None,None,1.0
830000,0.9470048,7.5840397,231.85898,0.06649973,0.00029505035,4999.0,1779.1426627256653,1779.1426627256653,1.0
840000,0.70935076,19.320507,7080.3906,0.06972624,0.00029498665,None,None,None,1.0
850000,0.7833271,20.559383,1304.8561,0.06230298,0.00029492963,None,None,None,1.0
860000,0.8300967,13.602546,7280.909,0.073638834,0.00029487262,None,None,None,1.0
870000,0.7469196,21.279228,5280.3506,0.06844855,0.00029480923,None,None,None,1.0
880000,0.85728824,21.285866,2549.6301,0.07099868,0.0002947459,4999.0,5854.969593590498,5854.969593590498,1.0
890000,0.87180567,25.346579,244.90683,0.059604157,0.00029468833,None,6981.75316286087,6981.75316286087,1.0
900000,0.83152694,19.98441,8559.819,0.06926542,0.00029463132,None,None,None,1.0
910000,0.8814137,28.404835,985.9082,0.059759807,0.00029456796,None,None,None,1.0
920000,0.9193811,23.573751,9478.044,0.06757188,0.00029451092,None,None,None,1.0
930000,1.1705464,23.533115,1703.8525,0.06610764,0.0002944539,None,None,None,1.0
940000,1.1209548,26.991217,914.99054,0.06931968,0.0002943903,4999.0,5395.0794180855155,5395.0794180855155,1.0
950000,0.6692482,35.062977,227.36272,0.069970146,0.00029432666,None,None,None,1.0
960000,1.2116807,20.287207,9129.092,0.0640157,0.00029426964,None,None,None,1.0
970000,1.3993946,17.395433,836.86194,0.06546421,0.0002942126,None,None,None,1.0
980000,1.3475817,19.220196,1511.0707,0.06919032,0.00029414924,None,None,None,1.0
990000,1.653051,13.000285,1144.7407,0.0685488,0.00029408588,4999.0,2748.0323776066302,2748.0323776066302,1.0
1000000,1.4761678,16.904026,40.453148,0.062183708,0.00029402834,None,4159.127800144255,4159.127800144255,1.0
